18:00:32.036 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
18:00:33.050 [main] INFO  c.e.m.MoneyTransferServiceApplicationTests - Started MoneyTransferServiceApplicationTests in 3.913 seconds (process running for 11.231)
18:01:30.624 [main] INFO  c.e.m.MoneyTransferServiceApplicationTests - Starting MoneyTransferServiceApplicationTests using Java 17.0.6 with PID 16202 (started by dmitrijvorobev in /Users/dmitrijvorobev/Desktop/Netology/MoneyTransferService)
18:01:30.626 [main] INFO  c.e.m.MoneyTransferServiceApplicationTests - No active profile set, falling back to 1 default profile: "default"
18:01:32.916 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
18:01:32.917 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
18:01:33.014 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
18:01:33.981 [main] INFO  c.e.m.MoneyTransferServiceApplicationTests - Started MoneyTransferServiceApplicationTests in 3.87 seconds (process running for 11.22)
18:03:47.273 [main] INFO  c.e.m.MoneyTransferServiceApplicationTests - Starting MoneyTransferServiceApplicationTests using Java 17.0.6 with PID 16335 (started by dmitrijvorobev in /Users/dmitrijvorobev/Desktop/Netology/MoneyTransferService)
18:03:47.276 [main] INFO  c.e.m.MoneyTransferServiceApplicationTests - No active profile set, falling back to 1 default profile: "default"
18:03:49.587 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
18:03:49.589 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
18:03:49.697 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
18:03:50.685 [main] INFO  c.e.m.MoneyTransferServiceApplicationTests - Started MoneyTransferServiceApplicationTests in 3.924 seconds (process running for 11.464)
